name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kevin Durant","Golden State Warriors",2017-11-04,2017,3202,1610612744,400974886,1,8,50,0,"Jump Shot","3PT Field Goal",24,"Denver Nuggets",226,88,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-27,2017,3202,1610612744,400975474,2,6,25,1,"Jump Shot","2PT Field Goal",15,"Boston Celtics",119,106,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,3,2,17,1,"Jump Shot","2PT Field Goal",5,"New Orleans Pelicans",3,59,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-04,2017,3202,1610612744,400974886,1,6,53,0,"Jump Shot","3PT Field Goal",25,"Denver Nuggets",84,240,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,2,3,43,0,"Jump Shot","3PT Field Goal",27,"New Orleans Pelicans",-177,204,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,1,11,19,1,"Jump Shot","2PT Field Goal",19,"New Orleans Pelicans",-115,159,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,3,11,05,0,"Jump Shot","2PT Field Goal",18,"Charlotte Hornets",143,125,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,3,5,55,0,"Jump Shot","2PT Field Goal",14,"Charlotte Hornets",122,86,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-10,2017,3202,1610612744,400975359,1,4,23,1,"Jump Shot","3PT Field Goal",27,"Los Angeles Clippers",97,257,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,2,3,38,0,"Jump Shot","2PT Field Goal",12,"Charlotte Hornets",-5,120,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,2,3,07,1,"Jump Shot","3PT Field Goal",27,"Charlotte Hornets",124,244,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,3,3,00,1,"Jump Shot","3PT Field Goal",25,"Charlotte Hornets",6,256,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,3,7,22,0,"Jump Shot","2PT Field Goal",21,"Toronto Raptors",165,143,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-10,2017,3202,1610612744,400975359,4,7,09,0,"Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",101,150,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,3,3,45,0,"Jump Shot","2PT Field Goal",16,"Portland Trail Blazers",2,168,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-10,2017,3202,1610612744,400975359,2,1,41,1,"Jump Shot","2PT Field Goal",21,"Los Angeles Clippers",-89,199,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-10,2017,3202,1610612744,400975359,4,4,16,1,"Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",153,210,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,3,8,15,0,"Jump Shot","2PT Field Goal",15,"Charlotte Hornets",94,125,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-10,2017,3202,1610612744,400975359,4,3,10,0,"Jump Shot","3PT Field Goal",27,"Los Angeles Clippers",66,266,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-10,2017,3202,1610612744,400975359,1,5,39,0,"Jump Shot","2PT Field Goal",16,"Los Angeles Clippers",146,80,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,1,6,46,0,"Jump Shot","2PT Field Goal",10,"Philadelphia 76ers",-101,43,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,1,4,59,1,"Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",-171,185,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,3,5,23,0,"Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",-158,212,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,2,6,59,0,"Jump Shot","2PT Field Goal",18,"Philadelphia 76ers",84,168,0,0.00,,0.00,0.00
